sample_id	PC1	PC2	PC3	PC4	PC5	run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212459	-5.991302467023075	-0.7156791704182004	-6.013081522449704	0.19728094822986955	-1.6641527081513898	SRR12212459	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212459.Aligned.sortedByCoord.out.bam	SRR12212459	young	GSM4669753	SAMN15520676	SRX8723063	young	GSM4669753	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669753	yGV_21A	yGV_21A	SN
SRR12212460	28.085110923884724	4.754991982114648	-8.04375839026275	7.253968730771398	-5.599172685905891	SRR12212460	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212460.Aligned.sortedByCoord.out.bam	SRR12212460	young	GSM4669754	SAMN15520675	SRX8723064	young	GSM4669754	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669754	yGV_21	yGV_21	NSN
SRR12212461	10.798162312218688	2.5314988407909307	-6.778429061074138	-0.6038495428607906	-1.68076667996209	SRR12212461	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212461.Aligned.sortedByCoord.out.bam	SRR12212461	young	GSM4669755	SAMN15520674	SRX8723065	young	GSM4669755	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669755	yGV_22A	yGV_22A	NSN
SRR12212462	15.531001201300331	3.7210302038704928	-6.493899578253236	7.259289810988922	3.690407932310427	SRR12212462	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212462.Aligned.sortedByCoord.out.bam	SRR12212462	young	GSM4669756	SAMN15520671	SRX8723066	young	GSM4669756	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669756	yGV_22	yGV_22	NSN
SRR12212463	7.87659605126435	6.925097172786787	1.824567880870994	4.641262469879611	8.70420994101973	SRR12212463	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212463.Aligned.sortedByCoord.out.bam	SRR12212463	young	GSM4669757	SAMN15520669	SRX8723067	young	GSM4669757	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669757	yGV_23	yGV_23	NSN
SRR12212464	5.906537956209416	-0.5797998582699275	-10.345254218438265	3.400412867715767	3.93148664813447	SRR12212464	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212464.Aligned.sortedByCoord.out.bam	SRR12212464	young	GSM4669758	SAMN15520668	SRX8723068	young	GSM4669758	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669758	yGV_24A	yGV_24A	NSN
SRR12212465	3.5796753657184563	1.2551027466198659	-0.5006649308148056	3.5664461933160054	4.681481786421024	SRR12212465	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212465.Aligned.sortedByCoord.out.bam	SRR12212465	young	GSM4669759	SAMN15520667	SRX8723069	young	GSM4669759	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669759	yGV_24	yGV_24	SN
SRR12212466	-5.632613912352709	3.050704677738767	-3.4235621083374164	-10.470098172275065	3.250061273112258	SRR12212466	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212466.Aligned.sortedByCoord.out.bam	SRR12212466	young	GSM4669760	SAMN15520666	SRX8723070	young	GSM4669760	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669760	yGV_2A	yGV_2A	SN
SRR12212467	2.2134280326591305	7.899266207221353	17.64960386337976	-6.06199379683455	6.001700591331436	SRR12212467	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212467.Aligned.sortedByCoord.out.bam	SRR12212467	young	GSM4669761	SAMN15520665	SRX8723071	young	GSM4669761	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669761	yGV_2	yGV_2	SN
SRR12212468	26.087824387090844	3.9307362697862085	11.072483084279693	-5.1815400954890105	-12.649641001403749	SRR12212468	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212468.Aligned.sortedByCoord.out.bam	SRR12212468	young	GSM4669762	SAMN15520664	SRX8723072	young	GSM4669762	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669762	yGV_33A	yGV_33A	NSN
