run_clean	age_group	bam_path	run_key	age_group_clean	geo_accession_exp	biosample	experiment	age_group_geo	sample_name_geo	source_name	developmental_stage	gsm_id	ogv_id	cell	predicted_configuration
SRR12212449	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212449.Aligned.sortedByCoord.out.bam	SRR12212449	young	GSM4669743	SAMN15520686	SRX8723053	young	GSM4669743	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669743	yGV_17A	yGV_17A	NSN
SRR12212450	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212450.Aligned.sortedByCoord.out.bam	SRR12212450	young	GSM4669744	SAMN15520685	SRX8723054	young	GSM4669744	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669744	yGV_17	yGV_17	NSN
SRR12212451	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212451.Aligned.sortedByCoord.out.bam	SRR12212451	young	GSM4669745	SAMN15520684	SRX8723055	young	GSM4669745	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669745	yGV_18A	yGV_18A	NSN
SRR12212452	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212452.Aligned.sortedByCoord.out.bam	SRR12212452	young	GSM4669746	SAMN15520683	SRX8723056	young	GSM4669746	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669746	yGV_18	yGV_18	NSN
SRR12212453	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212453.Aligned.sortedByCoord.out.bam	SRR12212453	young	GSM4669747	SAMN15520682	SRX8723057	young	GSM4669747	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669747	yGV_19A	yGV_19A	NSN
SRR12212454	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212454.Aligned.sortedByCoord.out.bam	SRR12212454	young	GSM4669748	SAMN15520681	SRX8723058	young	GSM4669748	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669748	yGV_19	yGV_19	NSN
SRR12212455	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212455.Aligned.sortedByCoord.out.bam	SRR12212455	young	GSM4669749	SAMN15520680	SRX8723059	young	GSM4669749	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669749	yGV_1A	yGV_1A	SN
SRR12212456	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212456.Aligned.sortedByCoord.out.bam	SRR12212456	young	GSM4669750	SAMN15520679	SRX8723060	young	GSM4669750	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669750	yGV_1	yGV_1	NSN
SRR12212457	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212457.Aligned.sortedByCoord.out.bam	SRR12212457	young	GSM4669751	SAMN15520678	SRX8723061	young	GSM4669751	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669751	yGV_20A	yGV_20A	NSN
SRR12212458	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212458.Aligned.sortedByCoord.out.bam	SRR12212458	young	GSM4669752	SAMN15520677	SRX8723062	young	GSM4669752	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669752	yGV_20	yGV_20	NSN
SRR12212459	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212459.Aligned.sortedByCoord.out.bam	SRR12212459	young	GSM4669753	SAMN15520676	SRX8723063	young	GSM4669753	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669753	yGV_21A	yGV_21A	NSN
SRR12212460	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212460.Aligned.sortedByCoord.out.bam	SRR12212460	young	GSM4669754	SAMN15520675	SRX8723064	young	GSM4669754	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669754	yGV_21	yGV_21	SN
SRR12212461	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212461.Aligned.sortedByCoord.out.bam	SRR12212461	young	GSM4669755	SAMN15520674	SRX8723065	young	GSM4669755	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669755	yGV_22A	yGV_22A	SN
SRR12212462	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212462.Aligned.sortedByCoord.out.bam	SRR12212462	young	GSM4669756	SAMN15520671	SRX8723066	young	GSM4669756	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669756	yGV_22	yGV_22	SN
SRR12212463	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212463.Aligned.sortedByCoord.out.bam	SRR12212463	young	GSM4669757	SAMN15520669	SRX8723067	young	GSM4669757	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669757	yGV_23	yGV_23	SN
SRR12212464	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212464.Aligned.sortedByCoord.out.bam	SRR12212464	young	GSM4669758	SAMN15520668	SRX8723068	young	GSM4669758	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669758	yGV_24A	yGV_24A	SN
SRR12212465	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212465.Aligned.sortedByCoord.out.bam	SRR12212465	young	GSM4669759	SAMN15520667	SRX8723069	young	GSM4669759	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669759	yGV_24	yGV_24	NSN
SRR12212466	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212466.Aligned.sortedByCoord.out.bam	SRR12212466	young	GSM4669760	SAMN15520666	SRX8723070	young	GSM4669760	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669760	yGV_2A	yGV_2A	NSN
SRR12212467	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212467.Aligned.sortedByCoord.out.bam	SRR12212467	young	GSM4669761	SAMN15520665	SRX8723071	young	GSM4669761	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669761	yGV_2	yGV_2	NSN
SRR12212468	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212468.Aligned.sortedByCoord.out.bam	SRR12212468	young	GSM4669762	SAMN15520664	SRX8723072	young	GSM4669762	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669762	yGV_33A	yGV_33A	SN
SRR12212469	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212469.Aligned.sortedByCoord.out.bam	SRR12212469	young	GSM4669763	SAMN15520663	SRX8723073	young	GSM4669763	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669763	yGV_33	yGV_33	SN
SRR12212470	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212470.Aligned.sortedByCoord.out.bam	SRR12212470	young	GSM4669764	SAMN15520662	SRX8723074	young	GSM4669764	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669764	yGV_34A	yGV_34A	SN
SRR12212471	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212471.Aligned.sortedByCoord.out.bam	SRR12212471	young	GSM4669765	SAMN15520661	SRX8723075	young	GSM4669765	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669765	yGV_34	yGV_34	NSN
SRR12212472	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212472.Aligned.sortedByCoord.out.bam	SRR12212472	young	GSM4669766	SAMN15520660	SRX8723076	young	GSM4669766	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669766	yGV_35A	yGV_35A	SN
SRR12212473	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212473.Aligned.sortedByCoord.out.bam	SRR12212473	young	GSM4669767	SAMN15520659	SRX8723077	young	GSM4669767	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669767	yGV_35	yGV_35	NSN
SRR12212474	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212474.Aligned.sortedByCoord.out.bam	SRR12212474	young	GSM4669768	SAMN15520658	SRX8723078	young	GSM4669768	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669768	yGV_36A	yGV_36A	NSN
SRR12212475	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212475.Aligned.sortedByCoord.out.bam	SRR12212475	young	GSM4669769	SAMN15520657	SRX8723079	young	GSM4669769	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669769	yGV_37A	yGV_37A	NSN
SRR12212476	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212476.Aligned.sortedByCoord.out.bam	SRR12212476	young	GSM4669770	SAMN15520656	SRX8723080	young	GSM4669770	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669770	yGV_37	yGV_37	NSN
SRR12212477	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212477.Aligned.sortedByCoord.out.bam	SRR12212477	young	GSM4669771	SAMN15520655	SRX8723081	young	GSM4669771	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669771	yGV_38A	yGV_38A	SN
SRR12212478	young	/home/margaret/Documents/mouse_oocyte_project/star/SRR12212478.Aligned.sortedByCoord.out.bam	SRR12212478	young	GSM4669772	SAMN15520654	SRX8723082	young	GSM4669772	germinal vesicle (GV) oocyte	germinal vesicle (GV)	GSM4669772	yGV_38	yGV_38	SN
